recall,precision
1.000000000000000000e+00,1.666101119782829876e-01
1.000000000000000000e+00,1.666666666666666574e-01
1.000000000000000000e+00,1.667232597623090062e-01
1.000000000000000000e+00,1.667798913043478382e-01
1.000000000000000000e+00,1.668365613319741647e-01
1.000000000000000000e+00,1.668932698844323714e-01
1.000000000000000000e+00,1.669500170010200513e-01
1.000000000000000000e+00,1.670068027210884487e-01
1.000000000000000000e+00,1.670636270840421822e-01
9.979633401221995603e-01,1.667801225323349290e-01
9.979633401221995603e-01,1.668369084099421140e-01
9.979633401221995603e-01,1.668937329700272421e-01
9.979633401221995603e-01,1.669505962521294629e-01
9.979633401221995603e-01,1.670074982958418552e-01
9.979633401221995603e-01,1.670644391408114549e-01
9.979633401221995603e-01,1.671214188267394207e-01
9.979633401221995603e-01,1.671784373933810908e-01
9.979633401221995603e-01,1.672354948805460650e-01
9.979633401221995603e-01,1.672925913280983168e-01
9.979633401221995603e-01,1.673497267759562757e-01
9.979633401221995603e-01,1.674069012640929388e-01
9.979633401221995603e-01,1.674641148325358986e-01
9.979633401221995603e-01,1.675213675213675091e-01
9.979633401221995603e-01,1.675786593707250249e-01
9.979633401221995603e-01,1.676359904208005458e-01
9.979633401221995603e-01,1.676933607118412106e-01
9.979633401221995603e-01,1.677507702841492532e-01
9.979633401221995603e-01,1.678082191780821963e-01
9.979633401221995603e-01,1.678657074340527688e-01
9.979633401221995603e-01,1.679232350925291273e-01
9.979633401221995603e-01,1.679808021940349672e-01
9.979633401221995603e-01,1.680384087791495229e-01
9.979633401221995603e-01,1.680960548885077066e-01
9.979633401221995603e-01,1.681537405628002746e-01
9.979633401221995603e-01,1.682114658427737719e-01
9.979633401221995603e-01,1.682692307692307820e-01
9.979633401221995603e-01,1.683270353830298993e-01
9.979633401221995603e-01,1.683848797250859231e-01
9.979633401221995603e-01,1.684427638363698854e-01
9.979633401221995603e-01,1.685006877579092177e-01
9.979633401221995603e-01,1.685586515307877509e-01
9.979633401221995603e-01,1.686166551961459092e-01
9.979633401221995603e-01,1.686746987951807109e-01
9.979633401221995603e-01,1.687327823691460171e-01
9.979633401221995603e-01,1.687909059593523942e-01
9.979633401221995603e-01,1.688490696071674735e-01
9.979633401221995603e-01,1.689072733540158688e-01
9.979633401221995603e-01,1.689655172413793149e-01
9.979633401221995603e-01,1.690238013107968340e-01
9.979633401221995603e-01,1.690821256038647358e-01
9.979633401221995603e-01,1.691404901622367840e-01
9.979633401221995603e-01,1.691988950276243076e-01
9.979633401221995603e-01,1.692573402417962003e-01
9.979633401221995603e-01,1.693158258465791155e-01
