fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
4.071661237785016469e-04,0.000000000000000000e+00
4.071661237785016469e-04,1.832993890020366556e-02
8.143322475570032937e-04,1.832993890020366556e-02
8.143322475570032937e-04,4.480651731160895795e-02
1.221498371335504778e-03,4.480651731160895795e-02
1.221498371335504778e-03,6.109979633401221855e-02
1.628664495114006587e-03,6.109979633401221855e-02
1.628664495114006587e-03,1.038696537678207715e-01
2.035830618892508180e-03,1.038696537678207715e-01
2.035830618892508180e-03,1.955193482688390993e-01
2.442996742671009556e-03,1.955193482688390993e-01
2.442996742671009556e-03,3.177189409368635364e-01
2.850162866449511365e-03,3.177189409368635364e-01
2.850162866449511365e-03,5.152749490835030199e-01
3.257328990228013175e-03,5.152749490835030199e-01
3.257328990228013175e-03,5.173116089613034596e-01
3.664495114006514551e-03,5.173116089613034596e-01
3.664495114006514551e-03,5.213849287169042279e-01
4.071661237785016360e-03,5.213849287169042279e-01
4.071661237785016360e-03,5.967413441955193854e-01
4.478827361563518170e-03,5.967413441955193854e-01
4.478827361563518170e-03,6.395112016293279522e-01
4.885993485342019112e-03,6.395112016293279522e-01
4.885993485342019112e-03,6.456211812627291602e-01
5.293159609120520921e-03,6.456211812627291602e-01
5.293159609120520921e-03,6.496945010183299285e-01
5.700325732899022731e-03,6.496945010183299285e-01
5.700325732899022731e-03,6.517311608961303682e-01
6.107491856677524540e-03,6.517311608961303682e-01
6.107491856677524540e-03,6.720977596741344318e-01
6.514657980456026350e-03,6.720977596741344318e-01
6.514657980456026350e-03,6.822810590631364080e-01
6.921824104234527292e-03,6.822810590631364080e-01
6.921824104234527292e-03,6.843177189409368477e-01
7.736156351791530911e-03,6.843177189409368477e-01
7.736156351791530911e-03,7.128309572301425590e-01
8.143322475570032720e-03,7.128309572301425590e-01
8.143322475570032720e-03,7.169042769857433273e-01
8.550488599348534530e-03,7.169042769857433273e-01
8.550488599348534530e-03,7.372708757637475019e-01
8.957654723127036339e-03,7.372708757637475019e-01
8.957654723127036339e-03,7.413441955193482702e-01
9.364820846905538149e-03,7.413441955193482702e-01
9.364820846905538149e-03,7.780040733197556291e-01
1.017915309446254003e-02,7.780040733197556291e-01
1.017915309446254003e-02,7.841140529531568371e-01
1.058631921824104184e-02,7.841140529531568371e-01
1.058631921824104184e-02,7.902240325865580450e-01
1.140065146579804546e-02,7.902240325865580450e-01
1.140065146579804546e-02,7.963340122199592530e-01
1.221498371335504908e-02,7.963340122199592530e-01
1.221498371335504908e-02,8.004073319755601323e-01
1.262214983713355089e-02,8.004073319755601323e-01
1.262214983713355089e-02,8.105906313645621086e-01
1.302931596091205270e-02,8.105906313645621086e-01
1.302931596091205270e-02,8.167006109979633166e-01
1.343648208469055451e-02,8.167006109979633166e-01
1.343648208469055451e-02,8.187372708757637563e-01
1.425081433224755639e-02,8.187372708757637563e-01
1.425081433224755639e-02,8.207739307535641959e-01
1.465798045602605820e-02,8.207739307535641959e-01
1.465798045602605820e-02,8.248472505091649642e-01
1.506514657980456001e-02,8.248472505091649642e-01
1.506514657980456001e-02,8.268839103869654039e-01
1.628664495114006544e-02,8.268839103869654039e-01
1.628664495114006544e-02,8.350305498981670516e-01
1.791530944625407268e-02,8.350305498981670516e-01
1.791530944625407268e-02,8.370672097759673802e-01
1.872964169381107630e-02,8.370672097759673802e-01
1.872964169381107630e-02,8.391038696537678199e-01
1.913680781758957811e-02,8.391038696537678199e-01
1.913680781758957811e-02,8.411405295315682595e-01
1.954397394136807645e-02,8.411405295315682595e-01
1.954397394136807645e-02,8.492871690427699072e-01
2.117263843648208368e-02,8.492871690427699072e-01
2.117263843648208368e-02,8.513238289205702358e-01
2.239413680781758911e-02,8.513238289205702358e-01
2.239413680781758911e-02,8.533604887983706755e-01
2.280130293159609092e-02,8.533604887983706755e-01
2.280130293159609092e-02,8.553971486761711152e-01
2.361563517915309454e-02,8.553971486761711152e-01
2.361563517915309454e-02,8.574338085539714438e-01
2.605863192182410540e-02,8.574338085539714438e-01
2.605863192182410540e-02,8.594704684317718835e-01
2.972312703583061821e-02,8.594704684317718835e-01
2.972312703583061821e-02,8.655804480651730914e-01
3.013029315960912002e-02,8.655804480651730914e-01
3.013029315960912002e-02,8.676171079429735311e-01
3.257328990228013088e-02,8.676171079429735311e-01
3.257328990228013088e-02,8.696537678207739708e-01
3.460912052117263993e-02,8.696537678207739708e-01
3.460912052117263993e-02,8.716904276985742994e-01
3.623778501628664717e-02,8.716904276985742994e-01
3.623778501628664717e-02,8.737270875763747391e-01
4.030944625407165832e-02,8.737270875763747391e-01
4.030944625407165832e-02,8.778004073319755074e-01
4.112377850162866194e-02,8.778004073319755074e-01
4.112377850162866194e-02,8.798370672097759471e-01
4.560260586319218185e-02,8.798370672097759471e-01
4.560260586319218185e-02,8.818737270875763867e-01
5.578175895765472014e-02,8.818737270875763867e-01
5.578175895765472014e-02,8.839103869653768264e-01
5.659609120521172376e-02,8.839103869653768264e-01
5.659609120521172376e-02,8.879837067209775947e-01
5.741042345276872738e-02,8.879837067209775947e-01
5.741042345276872738e-02,8.900203665987780344e-01
5.985342019543973824e-02,8.900203665987780344e-01
5.985342019543973824e-02,8.920570264765783630e-01
6.433224755700325814e-02,8.920570264765783630e-01
6.433224755700325814e-02,8.940936863543788027e-01
6.962540716612378167e-02,8.940936863543788027e-01
6.962540716612378167e-02,8.981670061099796820e-01
7.125407166123778890e-02,8.981670061099796820e-01
7.125407166123778890e-02,9.002036659877800107e-01
7.369706840390879976e-02,9.002036659877800107e-01
7.369706840390879976e-02,9.022403258655804503e-01
7.491856677524430519e-02,9.022403258655804503e-01
7.491856677524430519e-02,9.042769857433808900e-01
7.858306188925080760e-02,9.042769857433808900e-01
7.858306188925080760e-02,9.063136456211812186e-01
8.346905537459282931e-02,9.063136456211812186e-01
8.346905537459282931e-02,9.083503054989816583e-01
8.754071661237784741e-02,9.083503054989816583e-01
8.754071661237784741e-02,9.103869653767820980e-01
1.021986970684039125e-01,9.103869653767820980e-01
1.021986970684039125e-01,9.124236252545825376e-01
1.042345276872964216e-01,9.124236252545825376e-01
1.042345276872964216e-01,9.144602851323828663e-01
1.062703583061889306e-01,9.144602851323828663e-01
1.062703583061889306e-01,9.164969450101833059e-01
1.135993485342019493e-01,9.164969450101833059e-01
1.135993485342019493e-01,9.470468431771894569e-01
1.140065146579804511e-01,9.470468431771894569e-01
1.140065146579804511e-01,9.490835030549897855e-01
1.144136807817589530e-01,9.490835030549897855e-01
1.144136807817589530e-01,9.511201629327902252e-01
1.164495114006514620e-01,9.511201629327902252e-01
1.164495114006514620e-01,9.531568228105906648e-01
1.172638436482084656e-01,9.531568228105906648e-01
1.172638436482084656e-01,9.551934826883909935e-01
1.197068403908794765e-01,9.551934826883909935e-01
1.197068403908794765e-01,9.592668024439918728e-01
1.351791530944625452e-01,9.592668024439918728e-01
1.351791530944625452e-01,9.613034623217923125e-01
1.359934853420195489e-01,9.613034623217923125e-01
1.359934853420195489e-01,9.633401221995926411e-01
1.396579804560260651e-01,9.633401221995926411e-01
1.396579804560260651e-01,9.653767820773930808e-01
1.457654723127035923e-01,9.653767820773930808e-01
1.457654723127035923e-01,9.674134419551935204e-01
1.494299674267101086e-01,9.674134419551935204e-01
1.494299674267101086e-01,9.694501018329938491e-01
1.498371335504886104e-01,9.694501018329938491e-01
1.498371335504886104e-01,9.714867617107942888e-01
1.681596091205211640e-01,9.714867617107942888e-01
1.681596091205211640e-01,9.735234215885947284e-01
1.852605863192182400e-01,9.735234215885947284e-01
1.852605863192182400e-01,9.755600814663950571e-01
1.962540716612377889e-01,9.755600814663950571e-01
1.962540716612377889e-01,9.775967413441954967e-01
1.995114006514658034e-01,9.775967413441954967e-01
1.995114006514658034e-01,9.796334012219959364e-01
2.088762214983713450e-01,9.796334012219959364e-01
2.088762214983713450e-01,9.816700610997963761e-01
2.092833876221498468e-01,9.816700610997963761e-01
2.092833876221498468e-01,9.837067209775967047e-01
4.283387622149837370e-01,9.837067209775967047e-01
4.283387622149837370e-01,9.857433808553971444e-01
4.845276872964169312e-01,9.857433808553971444e-01
4.845276872964169312e-01,9.877800407331975840e-01
5.541530944625406852e-01,9.877800407331975840e-01
5.549674267100976888e-01,9.877800407331975840e-01
